text,label
"Fever is a symptom that shows the body is responding to illness",real
"Cold and cough are caused by viruses, not by cold water",real
"Sweating helps regulate temperature but does not remove toxins",real
"Thin people can develop diabetes",real
"Body weight alone does not determine health",real
"Skipping meals can harm metabolism and blood sugar control",real
"Cracking knuckles does not cause arthritis",real
"Walking barefoot has limited health benefits and some risks",real
"Warm water may soothe digestion but does not cure infections",real
"Most healthy people do not need daily multivitamins",real
"Heated honey is safe when consumed normally",real
"Milk and fish can be eaten together safely",real
"Eggs are a nutritious source of protein",real
"Ghee in moderation can be part of a healthy diet",real
"Bananas do not cause cold or cough",real
"Rice alone does not cause diabetes",real
"Sugar alone does not cause hyperactivity in children",real
"Lemon water does not directly burn fat",real
"Fruits can be eaten safely at night",real
"Vegetarian and non-vegetarian diets can both be healthy",real
"Depression is a medical condition, not just sadness",real
"Anxiety disorders are treatable medical conditions",real
"Mental illness does not mean loss of sanity",real
"Therapy is useful for people of all economic backgrounds",real
"Meditation supports mental health but does not replace treatment",real
"Children and teenagers can experience depression",real
"Talking about suicide openly can reduce risk",real
"Mental illness is influenced by biology and environment",real
"Seeking mental health help is a sign of strength",real
"Marriage does not cure mental illness",real
"Antibiotics do not work against viral infections",real
"Tuberculosis spreads through air droplets",real
"Dengue spreads through mosquito bites",real
"HIV does not spread through casual touch",real
"Vaccines do not cause infertility",real
"Mild fever after vaccination is normal",real
"Sexually transmitted infections can affect anyone",real
"Malaria is caused by parasites transmitted by mosquitoes",real
"Worm infections in children are common and treatable",real
"Typhoid is caused by contaminated food or water",real
"Diabetes develops due to insulin resistance and genetics",real
"Insulin is a safe and effective treatment for diabetes",real
"Blood pressure medicines protect the heart and kidneys",real
"Asthma patients benefit from controlled exercise",real
"Epilepsy is a neurological condition",real
"Heart attacks can occur in young adults",real
"Many cancers are treatable or curable when detected early",real
"Cancer does not spread by touch",real
"Thyroid disorders cause multiple symptoms, not just weight gain",real
"Joint pain can have many different causes",real
"Pregnant women need balanced nutrition, not double food",real
"Papaya in normal amounts is safe during pregnancy",real
"Menstrual blood is normal biological tissue",real
"Bathing during periods is safe and hygienic",real
"Irregular periods do not always mean infertility",real
"Breastfeeding benefits both mother and baby",real
"C-sections are life-saving procedures when needed",real
"Exercise during pregnancy is usually beneficial",real
"Morning sickness does not harm the baby",real
"Severe period pain should be medically evaluated",real
"Herbal medicines can also have side effects",real
"Ayurvedic medicines should be used under guidance",real
"Homeopathy has limited scientific evidence",real
"No single treatment can cure all diseases",real
"Cancer requires evidence-based medical treatment",real
"Immunity improves through nutrition, sleep, and vaccination",real
"Faith can support coping but not replace treatment",real
"Oral hygiene is essential to prevent dental disease",real
"Fasting during illness should be medically supervised",real
"The liver and kidneys naturally detoxify the body",real
"Reading in dim light causes eye strain, not blindness",real
"Screen use causes temporary eye strain",real
"Earwax protects the ear canal",real
"Acne is influenced by hormones and oil glands",real
"Oily skin still needs moisturizer",real
"Skin colour does not indicate health",real
"Dandruff is a scalp condition",real
"Helmets do not cause hair loss",real
"Kajal does not improve eyesight",real
"Nose picking does not damage the brain",real
"Stroke can occur at any age",real
"Paralysis can improve with rehabilitation",real
"Brain injury does not always reduce intelligence",real
"Head injuries vary widely in severity",real
